dataset,seed_req,seed_ckpt,seed_dir,case_id,selected_case_name,noise_name,case_tag,split,files_total,files_done,files_skipped,n_boxes,mean_iou_noisy,mean_iou_refined,delta_iou,best_pt,out_dir
kitti,42,42,seed042,"__home__ISW__project__experiments_ablation(scale_side, start=noise)-(100)__weights__kitti__set_densenet_noisy2clean__absn_0100_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60",SINGLE_densenet_absn100_ctx1_dist0_E1,labels_scale_0.6,scale_0.6,train,100,100,0,499,0.35999993786229395,0.8695563688933651,0.5095564310310712,"/home/ISW/project/experiments_ablation(scale_side, start=noise)-(100)/weights/kitti/set_densenet_noisy2clean/absn_0100_ctx1/d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise)-(100)/refines/seed042/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise)-(100)__weights__kitti__set_densenet_noisy2clean__absn_0100_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/labels_scale_0.6/train"
kitti,42,42,seed042,"__home__ISW__project__experiments_ablation(scale_side, start=noise)-(100)__weights__kitti__set_densenet_noisy2clean__absn_0100_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60",SINGLE_densenet_absn100_ctx1_dist0_E1,labels_scale_0.6,scale_0.6,val,100,100,0,493,0.35999976899498415,0.8871448016390638,0.5271450326440797,"/home/ISW/project/experiments_ablation(scale_side, start=noise)-(100)/weights/kitti/set_densenet_noisy2clean/absn_0100_ctx1/d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise)-(100)/refines/seed042/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise)-(100)__weights__kitti__set_densenet_noisy2clean__absn_0100_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/labels_scale_0.6/val"
kitti,42,42,seed042,"__home__ISW__project__experiments_ablation(scale_side, start=noise)-(100)__weights__kitti__set_densenet_noisy2clean__absn_0100_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60",SINGLE_densenet_absn100_ctx1_dist0_E1,labels_scale_0.7,scale_0.7,train,100,100,0,499,0.4899995380727724,0.8109974680374482,0.32099792996467585,"/home/ISW/project/experiments_ablation(scale_side, start=noise)-(100)/weights/kitti/set_densenet_noisy2clean/absn_0100_ctx1/d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise)-(100)/refines/seed042/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise)-(100)__weights__kitti__set_densenet_noisy2clean__absn_0100_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/labels_scale_0.7/train"
kitti,42,42,seed042,"__home__ISW__project__experiments_ablation(scale_side, start=noise)-(100)__weights__kitti__set_densenet_noisy2clean__absn_0100_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60",SINGLE_densenet_absn100_ctx1_dist0_E1,labels_scale_0.7,scale_0.7,val,100,100,0,493,0.489999282986449,0.8436479925074561,0.3536487095210071,"/home/ISW/project/experiments_ablation(scale_side, start=noise)-(100)/weights/kitti/set_densenet_noisy2clean/absn_0100_ctx1/d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise)-(100)/refines/seed042/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise)-(100)__weights__kitti__set_densenet_noisy2clean__absn_0100_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/labels_scale_0.7/val"
kitti,42,42,seed042,"__home__ISW__project__experiments_ablation(scale_side, start=noise)-(100)__weights__kitti__set_densenet_noisy2clean__absn_0100_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60",SINGLE_densenet_absn100_ctx1_dist0_E1,labels_scale_0.8,scale_0.8,train,100,100,0,499,0.640000031172499,0.7888977269559526,0.14889769578345355,"/home/ISW/project/experiments_ablation(scale_side, start=noise)-(100)/weights/kitti/set_densenet_noisy2clean/absn_0100_ctx1/d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise)-(100)/refines/seed042/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise)-(100)__weights__kitti__set_densenet_noisy2clean__absn_0100_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/labels_scale_0.8/train"
kitti,42,42,seed042,"__home__ISW__project__experiments_ablation(scale_side, start=noise)-(100)__weights__kitti__set_densenet_noisy2clean__absn_0100_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60",SINGLE_densenet_absn100_ctx1_dist0_E1,labels_scale_0.8,scale_0.8,val,100,100,0,493,0.6400000608250777,0.8181935246173169,0.17819346379223916,"/home/ISW/project/experiments_ablation(scale_side, start=noise)-(100)/weights/kitti/set_densenet_noisy2clean/absn_0100_ctx1/d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise)-(100)/refines/seed042/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise)-(100)__weights__kitti__set_densenet_noisy2clean__absn_0100_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/labels_scale_0.8/val"
kitti,42,42,seed042,"__home__ISW__project__experiments_ablation(scale_side, start=noise)-(100)__weights__kitti__set_densenet_noisy2clean__absn_0100_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60",SINGLE_densenet_absn100_ctx1_dist0_E1,labels_scale_0.9,scale_0.9,train,100,100,0,499,0.8099995221210424,0.7873243046995045,-0.02267521742153784,"/home/ISW/project/experiments_ablation(scale_side, start=noise)-(100)/weights/kitti/set_densenet_noisy2clean/absn_0100_ctx1/d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise)-(100)/refines/seed042/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise)-(100)__weights__kitti__set_densenet_noisy2clean__absn_0100_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/labels_scale_0.9/train"
kitti,42,42,seed042,"__home__ISW__project__experiments_ablation(scale_side, start=noise)-(100)__weights__kitti__set_densenet_noisy2clean__absn_0100_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60",SINGLE_densenet_absn100_ctx1_dist0_E1,labels_scale_0.9,scale_0.9,val,100,100,0,493,0.8099996468327659,0.8013452188204307,-0.008654428012335192,"/home/ISW/project/experiments_ablation(scale_side, start=noise)-(100)/weights/kitti/set_densenet_noisy2clean/absn_0100_ctx1/d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise)-(100)/refines/seed042/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise)-(100)__weights__kitti__set_densenet_noisy2clean__absn_0100_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/labels_scale_0.9/val"
kitti,42,42,seed042,"__home__ISW__project__experiments_ablation(scale_side, start=noise)-(100)__weights__kitti__set_densenet_noisy2clean__absn_0100_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60",SINGLE_densenet_absn100_ctx1_dist0_E1,labels_scale_1.1,scale_1.1,train,100,100,0,499,0.8342872637764265,0.7736092077011,-0.06067805607532644,"/home/ISW/project/experiments_ablation(scale_side, start=noise)-(100)/weights/kitti/set_densenet_noisy2clean/absn_0100_ctx1/d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise)-(100)/refines/seed042/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise)-(100)__weights__kitti__set_densenet_noisy2clean__absn_0100_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/labels_scale_1.1/train"
kitti,42,42,seed042,"__home__ISW__project__experiments_ablation(scale_side, start=noise)-(100)__weights__kitti__set_densenet_noisy2clean__absn_0100_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60",SINGLE_densenet_absn100_ctx1_dist0_E1,labels_scale_1.1,scale_1.1,val,100,100,0,493,0.8334961565468114,0.7861968857441424,-0.047299270802669,"/home/ISW/project/experiments_ablation(scale_side, start=noise)-(100)/weights/kitti/set_densenet_noisy2clean/absn_0100_ctx1/d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/best.pt","experiments_ablation(scale_side, start=noise)-(100)/refines/seed042/kitti/__home__ISW__project__experiments_ablation(scale_side, start=noise)-(100)__weights__kitti__set_densenet_noisy2clean__absn_0100_ctx1__d512_h8_l2_dist0_share0_wL0_wM0_wE1_rnd12_inv1_jit0p03_cap60/labels_scale_1.1/val"
