dataset,case_id,noise_name,split,mean_iou_noisy,mean_iou_refined,delta_iou
homeobjects-3K,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.4,val,0.53849839,0.779744006,0.241245616
homeobjects-3K,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_1,train,0.758628124,0.82106048,0.062432356
homeobjects-3K,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_1,val,0.758455593,0.830331689,0.071876096
homeobjects-3K,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_3,train,0.610876834,0.742255657,0.131378823
homeobjects-3K,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_3,val,0.611845837,0.752152876,0.140307039
homeobjects-3K,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_5,train,0.47639533,0.592618759,0.11622343
homeobjects-3K,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_5,val,0.475039794,0.599478167,0.124438373
homeobjects-3K,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_7,train,0.464448554,0.577580324,0.11313177
homeobjects-3K,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_7,val,0.462130732,0.583858831,0.121728099
homeobjects-3K,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_9,train,0.354581277,0.420334001,0.065752725
homeobjects-3K,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_9,val,0.356683661,0.433635746,0.076952085
african-wildlife,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.6,train,0,,
african-wildlife,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.6,val,0.359999981,0.419302066,0.059302085
african-wildlife,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.7,train,0,,
african-wildlife,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.7,val,0.489999926,0.616059801,0.126059875
african-wildlife,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.8,train,0,,
african-wildlife,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.8,val,0.639999944,0.803575614,0.16357567
african-wildlife,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.9,train,0,,
african-wildlife,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.9,val,0.810000032,0.909815186,0.099815153
african-wildlife,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.1,train,0,,
african-wildlife,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.1,val,0.839483218,0.916480552,0.076997334
african-wildlife,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.2,train,0,,
african-wildlife,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.2,val,0.724457797,0.892683177,0.168225381
african-wildlife,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.3,train,0,,
african-wildlife,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.3,val,0.640099849,0.856432937,0.216333088
african-wildlife,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.4,train,0,,
african-wildlife,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.4,val,0.576944984,0.797775239,0.220830255
african-wildlife,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_1,train,0,,
african-wildlife,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_1,val,0.75788128,0.887419767,0.129538487
african-wildlife,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_3,train,0,,
african-wildlife,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_3,val,0.622784188,0.759953821,0.137169632
african-wildlife,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_5,train,0,,
african-wildlife,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_5,val,0.498326594,0.586243472,0.087916878
african-wildlife,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_7,train,0,,
african-wildlife,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_7,val,0.485936805,0.580973177,0.095036372
african-wildlife,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_9,train,0,,
african-wildlife,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_9,val,0.409374143,0.415470517,0.006096375
construction-ppe,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.6,train,0.360000005,0.437236961,0.077236956
construction-ppe,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.6,val,0.359999805,0.435873772,0.075873966
construction-ppe,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.7,train,0.490000005,0.536334427,0.046334422
construction-ppe,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.7,val,0.490000021,0.531387345,0.041387324
construction-ppe,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.8,train,0.639999938,0.611916447,-0.028083491
construction-ppe,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.8,val,0.639999908,0.605718606,-0.034281302
construction-ppe,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.9,train,0.809999932,0.651805844,-0.158194088
construction-ppe,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.9,val,0.809999855,0.648224199,-0.161775656
construction-ppe,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.1,train,0.830431503,0.654352101,-0.176079402
construction-ppe,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.1,val,0.830893396,0.650416026,-0.18047737
construction-ppe,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.2,train,0.703319946,0.635537492,-0.067782454
construction-ppe,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.2,val,0.704122156,0.635907869,-0.068214287
construction-ppe,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.3,train,0.605246758,0.60907368,0.003826922
construction-ppe,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.3,val,0.606318353,0.607851796,0.001533443
construction-ppe,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.4,train,0.527917147,0.575068871,0.047151724
construction-ppe,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.4,val,0.529270427,0.574799425,0.045528998
construction-ppe,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_1,train,0.755123263,0.639727518,-0.115395745
construction-ppe,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_1,val,0.757653078,0.636414027,-0.121239051
construction-ppe,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_3,train,0.606509286,0.58018066,-0.026328627
construction-ppe,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_3,val,0.611759332,0.5813109,-0.030448432
construction-ppe,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_5,train,0.473884843,0.480139215,0.006254373
construction-ppe,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_5,val,0.471012792,0.479758193,0.008745401
construction-ppe,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_7,train,0.457844254,0.467934098,0.010089844
construction-ppe,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_7,val,0.460977316,0.460539863,-0.000437453
construction-ppe,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_9,train,0.349944679,0.351631616,0.001686937
construction-ppe,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_9,val,0.349725154,0.350748499,0.001023344
Custom_Blood,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.6,train,0.359999597,0.653485041,0.293485444
Custom_Blood,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.6,val,0.35999965,0.654151365,0.294151715
Custom_Blood,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.7,train,0.489999172,0.712457351,0.222458179
Custom_Blood,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.7,val,0.489998972,0.717000562,0.22700159
Custom_Blood,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.8,train,0.639999445,0.735851156,0.095851711
Custom_Blood,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.8,val,0.639999559,0.741270574,0.101271015
Custom_Blood,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.9,train,0.80999912,0.748034542,-0.061964578
Custom_Blood,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.9,val,0.809998796,0.750793003,-0.059205793
Custom_Blood,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.1,train,0.827549348,0.748802321,-0.078747027
