dataset,model,case,labels_dir,class_mode,split_mode,train_fraction,train_used,train_total,effective_batch,effective_imgsz,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B)
homeobjects-3K,detr,original,labels,object_only,explicit,1,2285,2285,4,640,0.791566369,0.560235301,0.744969591,0.731538002
homeobjects-3K,yolov8n,scale_0.6,labels_scale_0.6,multiclass,explicit,1,2285,2285,32,640,0.025616907,0.002847514,0.088202363,0.032962557
homeobjects-3K,detr,scale_0.6,labels_scale_0.6,multiclass,explicit,1,2285,2285,4,640,0.017632543,0.002564044,0.045877011,0.052345498
homeobjects-3K,yolov8n,scale_0.6,labels_scale_0.6,object_only,explicit,1,2285,2285,32,640,0.018906541,0.003143462,0.04673254,0.114121037
homeobjects-3K,detr,scale_0.6,labels_scale_0.6,object_only,explicit,1,2285,2285,4,640,0.01049679,0.002340036,0.04820045,0.063976945
homeobjects-3K,yolov8n,scale_0.7,labels_scale_0.7,multiclass,explicit,1,2285,2285,32,640,0.190166467,0.02621065,0.293281209,0.289979436
homeobjects-3K,detr,scale_0.7,labels_scale_0.7,multiclass,explicit,1,2285,2285,4,640,0.308837308,0.04670581,0.43003244,0.403783063
homeobjects-3K,yolov8n,scale_0.7,labels_scale_0.7,object_only,explicit,1,2285,2285,32,640,0.24536172,0.034281538,0.389533552,0.371181556
homeobjects-3K,detr,scale_0.7,labels_scale_0.7,object_only,explicit,1,2285,2285,4,640,0.27369135,0.03821708,0.41678764,0.426512968
homeobjects-3K,yolov8n,scale_0.8,labels_scale_0.8,multiclass,explicit,1,2285,2285,32,640,0.577108917,0.170196007,0.612725445,0.556817976
homeobjects-3K,detr,scale_0.8,labels_scale_0.8,multiclass,explicit,1,2285,2285,4,640,0.678061979,0.222635863,0.718655357,0.648554013
homeobjects-3K,yolov8n,scale_0.8,labels_scale_0.8,object_only,explicit,1,2285,2285,32,640,0.677098929,0.195905388,0.70971991,0.597118156
homeobjects-3K,detr,scale_0.8,labels_scale_0.8,object_only,explicit,1,2285,2285,4,640,0.758042138,0.227890563,0.740169531,0.699441262
homeobjects-3K,yolov8n,scale_0.9,labels_scale_0.9,multiclass,explicit,1,2285,2285,32,640,0.626597323,0.348180438,0.593165628,0.625860135
homeobjects-3K,detr,scale_0.9,labels_scale_0.9,multiclass,explicit,1,2285,2285,4,640,0.730015165,0.432403537,0.71863609,0.703436368
homeobjects-3K,yolov8n,scale_0.9,labels_scale_0.9,object_only,explicit,1,2285,2285,32,640,0.740605735,0.395494273,0.743375082,0.651585014
homeobjects-3K,detr,scale_0.9,labels_scale_0.9,object_only,explicit,1,2285,2285,4,640,0.800984304,0.446099835,0.765999301,0.739193084
homeobjects-3K,yolov8n,scale_1.1,labels_scale_1.1,multiclass,explicit,1,2285,2285,32,640,0.668877406,0.377069015,0.741099696,0.591032082
homeobjects-3K,detr,scale_1.1,labels_scale_1.1,multiclass,explicit,1,2285,2285,4,640,0.739325484,0.438678626,0.755589606,0.7087624
homeobjects-3K,yolov8n,scale_1.1,labels_scale_1.1,object_only,explicit,1,2285,2285,32,640,0.74085431,0.399732153,0.735013755,0.668265352
homeobjects-3K,detr,scale_1.1,labels_scale_1.1,object_only,explicit,1,2285,2285,4,640,0.793258313,0.447790814,0.753720697,0.737175793
homeobjects-3K,yolov8n,scale_1.2,labels_scale_1.2,multiclass,explicit,1,2285,2285,32,640,0.621642243,0.241816156,0.660411714,0.577650579
homeobjects-3K,detr,scale_1.2,labels_scale_1.2,multiclass,explicit,1,2285,2285,4,640,0.728295051,0.290976735,0.734282736,0.6921969
homeobjects-3K,yolov8n,scale_1.2,labels_scale_1.2,object_only,explicit,1,2285,2285,32,640,0.70975836,0.263726572,0.710648784,0.652449568
homeobjects-3K,detr,scale_1.2,labels_scale_1.2,object_only,explicit,1,2285,2285,4,640,0.771089112,0.290315724,0.725481635,0.731123919
homeobjects-3K,yolov8n,scale_1.3,labels_scale_1.3,multiclass,explicit,1,2285,2285,32,640,0.570927715,0.141709137,0.624564913,0.537214853
homeobjects-3K,detr,scale_1.3,labels_scale_1.3,multiclass,explicit,1,2285,2285,4,640,0.673292394,0.168142379,0.730501385,0.657035361
homeobjects-3K,yolov8n,scale_1.3,labels_scale_1.3,object_only,explicit,1,2285,2285,32,640,0.554355647,0.148260006,0.589528843,0.53434185
homeobjects-3K,detr,scale_1.3,labels_scale_1.3,object_only,explicit,1,2285,2285,4,640,0.689497999,0.163053309,0.704712174,0.658501441
homeobjects-3K,yolov8n,scale_1.4,labels_scale_1.4,multiclass,explicit,1,2285,2285,32,640,0.304446741,0.061633233,0.396201129,0.37174562
homeobjects-3K,detr,scale_1.4,labels_scale_1.4,multiclass,explicit,1,2285,2285,4,640,0.446327371,0.081156418,0.513988798,0.507589086
homeobjects-3K,yolov8n,scale_1.4,labels_scale_1.4,object_only,explicit,1,2285,2285,32,640,0.388367737,0.06735212,0.497365927,0.440057637
